CHỈ TIÊU,THỜI GIAN,GIÁ TRỊ,Mã Chứng Khoán
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q2 2014,0.00,PLA
Chi Phí Bán Hàng,Q2 2014,-0.11,PLA
Chi Phí Quản Lý Doanh Nghiệp,Q2 2014,-2.18,PLA
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q2 2014,-0.43,PLA
"Thu Nhập Khác, Ròng",Q2 2014,0.00,PLA
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q2 2014,-0.13,PLA
Lãi/(Lỗ) Ròng Trước Thuế,Q2 2014,-0.55,PLA
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q2 2014,0.05,PLA
Lãi/(Lỗ) Thuần Sau Thuế,Q2 2014,-0.51,PLA
Lợi Ích Của Cổ Đông Thiểu Số,Q2 2014,-0.01,PLA
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q2 2014,-0.49,PLA
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q2 2014,0,PLA
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q2 2014,0,PLA
EBITDA,Q2 2014,-1.32,PLA
Doanh Số,Q3 2014,14.69,PLA
Các Khoản Giảm Trừ,Q3 2014,0.00,PLA
Doanh Số Thuần,Q3 2014,14.69,PLA
Giá Vốn Hàng Bán,Q3 2014,-13.58,PLA
Lãi Gộp,Q3 2014,1.12,PLA
Thu Nhập Tài Chính,Q3 2014,1.13,PLA
Chi Phí Tài Chính,Q3 2014,-0.00,PLA
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q3 2014,0.00,PLA
Chi Phí Bán Hàng,Q3 2014,-0.12,PLA
Chi Phí Quản Lý Doanh Nghiệp,Q3 2014,-1.63,PLA
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q3 2014,0.50,PLA
"Thu Nhập Khác, Ròng",Q3 2014,0.09,PLA
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q3 2014,0.07,PLA
Lãi/(Lỗ) Ròng Trước Thuế,Q3 2014,0.65,PLA
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q3 2014,-0.22,PLA
Lãi/(Lỗ) Thuần Sau Thuế,Q3 2014,0.43,PLA
Lợi Ích Của Cổ Đông Thiểu Số,Q3 2014,-0.04,PLA
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q3 2014,0.47,PLA
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q3 2014,23,PLA
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q3 2014,0,PLA
EBITDA,Q3 2014,-0.44,PLA
Doanh Số,Q4 2014,7.06,PLA
Các Khoản Giảm Trừ,Q4 2014,0.00,PLA
Doanh Số Thuần,Q4 2014,7.06,PLA
Giá Vốn Hàng Bán,Q4 2014,-6.24,PLA
Lãi Gộp,Q4 2014,0.82,PLA
Thu Nhập Tài Chính,Q4 2014,1.07,PLA
Chi Phí Tài Chính,Q4 2014,-0.03,PLA
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q4 2014,0.00,PLA
Chi Phí Bán Hàng,Q4 2014,-0.11,PLA
Chi Phí Quản Lý Doanh Nghiệp,Q4 2014,-1.96,PLA
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q4 2014,-0.21,PLA
"Thu Nhập Khác, Ròng",Q4 2014,-0.01,PLA
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q4 2014,-0.07,PLA
Lãi/(Lỗ) Ròng Trước Thuế,Q4 2014,-0.29,PLA
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q4 2014,0.05,PLA
Lãi/(Lỗ) Thuần Sau Thuế,Q4 2014,-0.23,PLA
Lợi Ích Của Cổ Đông Thiểu Số,Q4 2014,-0.03,PLA
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q4 2014,-0.21,PLA
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q4 2014,0,PLA
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q4 2014,0,PLA
EBITDA,Q4 2014,-1.29,PLA
Doanh Số,Q1 2015,10.71,PLA
Các Khoản Giảm Trừ,Q1 2015,0.00,PLA
Doanh Số Thuần,Q1 2015,10.71,PLA
Giá Vốn Hàng Bán,Q1 2015,-9.81,PLA
Lãi Gộp,Q1 2015,0.90,PLA
Thu Nhập Tài Chính,Q1 2015,1.02,PLA
Chi Phí Tài Chính,Q1 2015,0.09,PLA
